ProblemSet,RavensProblem,Agent's Answer
Challenge Problems C,Challenge Problem C-01,7
Challenge Problems C,Challenge Problem C-02,6
Challenge Problems C,Challenge Problem C-03,-1
Challenge Problems C,Challenge Problem C-04,6
Challenge Problems C,Challenge Problem C-05,4
Challenge Problems C,Challenge Problem C-06,-1
Challenge Problems C,Challenge Problem C-07,7
Challenge Problems C,Challenge Problem C-08,6
Challenge Problems C,Challenge Problem C-09,8
Challenge Problems C,Challenge Problem C-10,6
Challenge Problems C,Challenge Problem C-11,4
Challenge Problems C,Challenge Problem C-12,8
